1,1,1.5507e-20,1.55034e-20
2,2,1.55069e-20,1.55033e-20
3,3,1.55068e-20,1.55032e-20
4,4,1.55067e-20,1.5503e-20
5,5,1.55065e-20,1.55028e-20
6,6,1.55062e-20,1.55026e-20
7,7,1.5506e-20,1.55023e-20
8,8,1.55056e-20,1.5502e-20
9,9,1.55053e-20,1.55016e-20
10,10,1.55048e-20,1.55012e-20
11,11,1.55044e-20,1.55008e-20
12,12,1.55039e-20,1.55003e-20
13,13,1.55033e-20,1.54997e-20
14,14,1.55028e-20,1.54991e-20
15,15,1.55021e-20,1.54985e-20
16,16,1.55015e-20,1.54978e-20
17,17,1.55007e-20,1.54971e-20
18,18,1.55e-20,1.54963e-20
19,19,1.54992e-20,1.54955e-20
20,20,1.54983e-20,1.54947e-20
21,21,1.54974e-20,1.54938e-20
22,22,1.54965e-20,1.54929e-20
23,23,1.54955e-20,1.54919e-20
24,24,1.54945e-20,1.54909e-20
25,25,1.54934e-20,1.54898e-20
26,26,1.54923e-20,1.54887e-20
27,27,1.54912e-20,1.54875e-20
28,28,1.549e-20,1.54864e-20
29,29,1.54888e-20,1.54851e-20
30,30,1.54875e-20,1.54838e-20
31,31,1.54861e-20,1.54825e-20
32,32,1.54848e-20,1.54811e-20
33,33,1.54834e-20,1.54797e-20
34,34,1.54819e-20,1.54783e-20
35,35,1.54804e-20,1.54768e-20
36,36,1.54789e-20,1.54753e-20
37,37,1.54773e-20,1.54737e-20
38,38,1.54757e-20,1.5472e-20
39,39,1.5474e-20,1.54704e-20
40,40,1.54723e-20,1.54687e-20
41,41,1.54705e-20,1.54669e-20
42,42,1.54688e-20,1.54651e-20
43,43,1.54669e-20,1.54633e-20
44,44,1.5465e-20,1.54614e-20
45,45,1.54631e-20,1.54595e-20
46,46,1.54611e-20,1.54575e-20
47,47,1.54591e-20,1.54555e-20
48,48,1.54571e-20,1.54534e-20
49,49,1.5455e-20,1.54513e-20
50,50,1.54528e-20,1.54492e-20
51,51,1.54507e-20,1.5447e-20
52,52,1.54484e-20,1.54448e-20
53,53,1.54462e-20,1.54425e-20
54,54,1.54439e-20,1.54402e-20
55,55,1.54415e-20,1.54379e-20
56,56,1.54391e-20,1.54355e-20
57,57,1.54367e-20,1.5433e-20
58,58,1.54342e-20,1.54306e-20
59,59,1.54317e-20,1.54281e-20
60,60,1.54291e-20,1.54255e-20
61,61,1.54265e-20,1.54229e-20
62,62,1.54239e-20,1.54202e-20
63,63,1.54212e-20,1.54175e-20
64,64,1.54185e-20,1.54148e-20
65,65,1.54157e-20,1.5412e-20
66,66,1.54129e-20,1.54092e-20
67,67,1.541e-20,1.54064e-20
68,68,1.54071e-20,1.54035e-20
69,69,1.54042e-20,1.54005e-20
70,70,1.54012e-20,1.53976e-20
71,71,1.53982e-20,1.53945e-20
72,72,1.53951e-20,1.53915e-20
73,73,1.5392e-20,1.53884e-20
74,74,1.53888e-20,1.53852e-20
75,75,1.53857e-20,1.5382e-20
76,76,1.53824e-20,1.53788e-20
77,77,1.53791e-20,1.53755e-20
78,78,1.53758e-20,1.53722e-20
79,79,1.53725e-20,1.53688e-20
80,80,1.53691e-20,1.53654e-20
81,81,1.53656e-20,1.5362e-20
82,82,1.53622e-20,1.53585e-20
83,83,1.53586e-20,1.5355e-20
84,84,1.53551e-20,1.53514e-20
85,85,1.53515e-20,1.53478e-20
86,86,1.53478e-20,1.53442e-20
87,87,1.53441e-20,1.53405e-20
88,88,1.53404e-20,1.53368e-20
89,89,1.53367e-20,1.5333e-20
90,90,1.53329e-20,1.53292e-20
91,91,1.5329e-20,1.53254e-20
92,92,1.53251e-20,1.53215e-20
93,93,1.53212e-20,1.53176e-20
94,94,1.53172e-20,1.53136e-20
95,95,1.53132e-20,1.53096e-20
96,96,1.53092e-20,1.53055e-20
97,97,1.53051e-20,1.53014e-20
98,98,1.53009e-20,1.52973e-20
99,99,1.52968e-20,1.52931e-20
100,100,1.52926e-20,1.52889e-20
101,101,1.52883e-20,1.52847e-20
102,102,1.5284e-20,1.52804e-20
103,103,1.52797e-20,1.52761e-20
104,104,1.52753e-20,1.52717e-20
105,105,1.52709e-20,1.52673e-20
106,106,1.52665e-20,1.52628e-20
107,107,1.5262e-20,1.52583e-20
108,108,1.52575e-20,1.52538e-20
109,109,1.52529e-20,1.52492e-20
110,110,1.52483e-20,1.52446e-20
111,111,1.52436e-20,1.524e-20
112,112,1.52389e-20,1.52353e-20
113,113,1.52342e-20,1.52306e-20
114,114,1.52295e-20,1.52258e-20
115,115,1.52247e-20,1.5221e-20
116,116,1.52198e-20,1.52162e-20
117,117,1.52149e-20,1.52113e-20
118,118,1.521e-20,1.52064e-20
119,119,1.52051e-20,1.52014e-20
120,120,1.52001e-20,1.51964e-20
121,121,1.5195e-20,1.51914e-20
122,122,1.519e-20,1.51863e-20
123,123,1.51849e-20,1.51812e-20
124,124,1.51797e-20,1.51761e-20
125,125,1.51745e-20,1.51709e-20
126,126,1.51693e-20,1.51657e-20
127,127,1.5164e-20,1.51604e-20
128,128,1.51587e-20,1.51551e-20
129,129,1.51534e-20,1.51498e-20
130,130,1.5148e-20,1.51444e-20
131,131,1.51426e-20,1.5139e-20
132,132,1.51371e-20,1.51335e-20
133,133,1.51317e-20,1.5128e-20
134,134,1.51261e-20,1.51225e-20
135,135,1.51206e-20,1.51169e-20
136,136,1.5115e-20,1.51113e-20
137,137,1.51093e-20,1.51057e-20
138,138,1.51037e-20,1.51e-20
139,139,1.50979e-20,1.50943e-20
140,140,1.50922e-20,1.50886e-20
