extension(um),extension/L,force(pN),Lpeff(nm)
0.008,0.00202122,0.00024944,50
0.00805,0.00203386,0.000250999,50
0.0081,0.00204649,0.000252559,50
0.00815,0.00205912,0.000254118,50
0.0082,0.00207175,0.000255678,50
0.00825,0.00208439,0.000257237,50
0.0083,0.00209702,0.000258797,50
0.00835,0.00210965,0.000260356,50
0.0084,0.00212228,0.000261916,50
0.00845,0.00213492,0.000263475,50
0.0085,0.00214755,0.000265035,50
0.00855,0.00216018,0.000266594,50
0.0086,0.00217281,0.000268154,50
0.00865,0.00218545,0.000269713,50
0.0087,0.00219808,0.000271273,50
0.00875,0.00221071,0.000272832,50
0.0088,0.00222335,0.000274392,50
0.00885,0.00223598,0.000275952,50
0.0089,0.00224861,0.000277511,50
0.00895,0.00226124,0.000279071,50
0.009,0.00227388,0.00028063,50
0.00905,0.00228651,0.00028219,50
0.0091,0.00229914,0.000283749,50
0.00915,0.00231177,0.000285309,50
0.0092,0.00232441,0.000286869,50
0.00925,0.00233704,0.000288428,50
0.0093,0.00234967,0.000289988,50
0.00935,0.0023623,0.000291548,50
0.0094,0.00237494,0.000293107,50
0.00945,0.00238757,0.000294667,50
0.0095,0.0024002,0.000296226,50
0.00955,0.00241283,0.000297786,50
0.0096,0.00242547,0.000299346,50
0.00965,0.0024381,0.000300905,50
0.0097,0.00245073,0.000302465,50
0.00975,0.00246337,0.000304025,50
0.0098,0.002476,0.000305584,50
0.00985,0.00248863,0.000307144,50
0.0099,0.00250126,0.000308704,50
0.00995,0.0025139,0.000310264,50
0.01,0.00252653,0.000311823,50
0.01005,0.00253916,0.000313383,50
0.0101,0.00255179,0.000314943,50
0.01015,0.00256443,0.000316502,50
0.0102,0.00257706,0.000318062,50
0.01025,0.00258969,0.000319622,50
0.0103,0.00260232,0.000321182,50
0.01035,0.00261496,0.000322741,50
0.0104,0.00262759,0.000324301,50
0.01045,0.00264022,0.000325861,50
0.0105,0.00265285,0.000327421,50
0.01055,0.00266549,0.00032898,50
0.0106,0.00267812,0.00033054,50
0.01065,0.00269075,0.0003321,50
0.0107,0.00270339,0.00033366,50
0.01075,0.00271602,0.00033522,50
0.0108,0.00272865,0.000336779,50
0.01085,0.00274128,0.000338339,50
0.0109,0.00275392,0.000339899,50
0.01095,0.00276655,0.000341459,50
0.011,0.00277918,0.000343019,50
